area,population,death,rate
南投縣南投市,97859,7,7.153
南投縣埔里鎮,77562,5,6.446
南投縣草屯鎮,96504,4,4.145
南投縣竹山鎮,52200,2,3.831
南投縣集集鎮,10129,0,0
南投縣名間鄉,36538,2,5.474
南投縣鹿谷鄉,16635,1,6.011
南投縣中寮鄉,13961,0,0
南投縣魚池鄉,15027,1,6.655
南投縣國姓鄉,17443,1,5.733
南投縣水里鄉,16559,0,0
南投縣信義鄉,15740,0,0
南投縣仁愛鄉,15786,4,25.339
嘉義市東區,118179,2,1.692
嘉義市西區,145023,6,4.137
嘉義縣太保市,38649,4,10.35
嘉義縣中埔鄉,43287,7,16.171
嘉義縣番路鄉,11007,0,0
嘉義縣水上鄉,48206,4,8.298
嘉義縣東石鄉,23357,4,17.125
嘉義縣朴子市,41097,3,7.3
嘉義縣大林鎮,29967,2,6.674
嘉義縣民雄鄉,70379,4,5.684
嘉義縣溪口鄉,13676,2,14.624
嘉義縣新港鄉,30559,5,16.362
嘉義縣六腳鄉,21565,3,13.911
嘉義縣義竹鄉,17128,0,0
嘉義縣鹿草鄉,14582,1,6.858
嘉義縣竹崎鄉,33960,0,0
嘉義縣梅山鄉,18202,1,5.494
嘉義縣大埔鄉,4510,0,0
嘉義縣阿里山鄉,5402,0,0
嘉義縣布袋鎮,25291,1,3.954
基隆市暖暖區,38149,1,2.621
基隆市七堵區,53054,2,3.77
基隆市仁愛區,41432,1,2.414
基隆市信義區,52722,1,1.897
基隆市中正區,50448,1,1.982
基隆市中山區,45327,0,0
基隆市安樂區,80480,2,2.485
宜蘭縣蘇澳鎮,38013,2,5.261
宜蘭縣五結鄉,40380,3,7.429
宜蘭縣宜蘭市,94601,2,2.114
宜蘭縣壯圍鄉,24352,1,4.106
宜蘭縣羅東鎮,70378,1,1.421
宜蘭縣員山鄉,31879,2,6.274
宜蘭縣冬山鄉,52789,4,7.577
宜蘭縣三星鄉,21186,4,18.88
宜蘭縣大同鄉,6118,1,16.345
宜蘭縣頭城鎮,28422,1,3.518
