area,population,death,rate
南投縣南投市,99507,4,4.02
南投縣埔里鎮,80266,5,6.229
南投縣草屯鎮,97205,2,2.058
南投縣竹山鎮,54371,2,3.678
南投縣集集鎮,10713,0,0
南投縣名間鄉,38152,0,0
南投縣鹿谷鄉,17616,1,5.677
南投縣中寮鄉,14626,1,6.837
南投縣魚池鄉,15715,1,6.363
南投縣國姓鄉,18506,1,5.404
南投縣水里鄉,17426,1,5.739
南投縣信義鄉,16137,0,0
南投縣仁愛鄉,15927,2,12.557
嘉義市東區,121098,4,3.303
嘉義市西區,147404,5,3.392
嘉義縣太保市,38132,6,15.735
嘉義縣中埔鄉,44461,1,2.249
嘉義縣番路鄉,11373,2,17.586
嘉義縣水上鄉,49301,0,0
嘉義縣東石鄉,24419,3,12.286
嘉義縣朴子市,42093,0,0
嘉義縣大林鎮,30899,1,3.236
嘉義縣民雄鄉,71355,3,4.204
嘉義縣溪口鄉,14450,1,6.92
嘉義縣新港鄉,31649,0,0
嘉義縣六腳鄉,22812,4,17.535
嘉義縣義竹鄉,18151,2,11.019
嘉義縣鹿草鄉,15250,1,6.557
嘉義縣竹崎鄉,35453,1,2.821
嘉義縣梅山鄉,19180,0,0
嘉義縣大埔鄉,4600,0,0
嘉義縣阿里山鄉,5572,0,0
嘉義縣布袋鎮,26635,0,0
基隆市暖暖區,38611,1,2.59
基隆市七堵區,53738,1,1.861
基隆市仁愛區,43658,3,6.872
基隆市信義區,52589,2,3.803
基隆市中正區,51640,2,3.873
基隆市中山區,47312,0,0
基隆市安樂區,82300,5,6.075
宜蘭縣蘇澳鎮,39482,2,5.066
宜蘭縣五結鄉,39553,2,5.057
宜蘭縣宜蘭市,95721,4,4.179
宜蘭縣壯圍鄉,24276,1,4.119
宜蘭縣羅東鎮,72447,2,2.761
宜蘭縣員山鄉,32228,0,0
宜蘭縣冬山鄉,52887,4,7.563
宜蘭縣三星鄉,21358,0,0
宜蘭縣大同鄉,6204,3,48.356
宜蘭縣頭城鎮,29076,2,6.879
宜蘭縣南澳鄉,6001,3,49.992
宜蘭縣礁溪鄉,35537,2,5.628
屏東縣佳冬鄉,19037,2,10.506
屏東縣竹田鄉,17058,2,11.725
屏東縣萬丹鄉,50468,4,7.926
屏東縣屏東市,199414,9,4.513
屏東縣潮州鎮,53947,1,1.854
屏東縣長治鄉,29546,2,6.769
屏東縣麟洛鄉,11009,1,9.083
屏東縣九如鄉,21999,1,4.546
屏東縣里港鄉,25950,2,7.707
屏東縣鹽埔鄉,25572,1,3.911
屏東縣高樹鄉,24239,1,4.126
屏東縣萬巒鄉,20557,1,4.865
屏東縣內埔鄉,53966,4,7.412
屏東縣新埤鄉,9863,4,40.556
屏東縣崁頂鄉,15459,1,6.469
屏東縣南州鄉,10596,1,9.438
屏東縣琉球鄉,12315,0,0
屏東縣三地門鄉,7705,0,0
屏東縣霧臺鄉,3334,0,0
屏東縣瑪家鄉,6803,0,0
屏東縣泰武鄉,5378,0,0
屏東縣來義鄉,7443,0,0
屏東縣春日鄉,4917,0,0
屏東縣獅子鄉,4955,0,0
屏東縣東港鎮,47483,1,2.106
屏東縣恆春鎮,30780,1,3.249
屏東縣枋寮鄉,24204,2,8.263
屏東縣新園鄉,34743,4,11.513
屏東縣林邊鄉,17741,0,0
屏東縣車城鄉,8485,1,11.786
屏東縣滿州鄉,7878,0,0
